date,link,text,price,images,description,place
2019-09-10 18:56,https://gainesville.craigslist.org/bik/d/gainesville-trek-speed-concept-98-top/6975914700.html,S -  Trek Speed Concept 9.8 - Top Tier Tri/TT Bike - $7k MSRP,$1600,"https://images.craigslist.org/00r0r_crRLUHfzSzR_600x450.jpg,https://images.craigslist.org/00S0S_4Z49oeybigE_600x450.jpg,https://images.craigslist.org/00o0o_alJmapikLjY_600x450.jpg,https://images.craigslist.org/01111_j1WqDv8GfaP_600x450.jpg,https://images.craigslist.org/00000_g0iTUknJ7fp_600x450.jpg,https://images.craigslist.org/00R0R_lVtG1Dt8BnK_600x450.jpg,https://images.craigslist.org/00R0R_aruVwm6IDBH_600x450.jpg,https://images.craigslist.org/00x0x_7F5NfxnLpFG_600x450.jpg,https://images.craigslist.org/00808_iLrBSvtaIb5_600x450.jpg,https://images.craigslist.org/00G0G_cMb5uAQnKhj_600x450.jpg,https://images.craigslist.org/01515_byL04esJdgr_600x450.jpg,https://images.craigslist.org/00Y0Y_k5i9G4f7yH5_600x450.jpg,https://images.craigslist.org/00I0I_2RmgqJiVWWj_600x450.jpg,https://images.craigslist.org/00C0C_hJ999h1x67y_600x450.jpg,https://images.craigslist.org/00O0O_cSxwYQZ5EOQ_600x450.jpg,https://images.craigslist.org/01616_6SJhZ6meYYd_600x450.jpg,https://images.craigslist.org/00l0l_eQ5JT7WOF3R_600x450.jpg,https://images.craigslist.org/00V0V_jDolTnuLZNa_600x450.jpg,https://images.craigslist.org/00E0E_a4pfGvqXvsa_600x450.jpg,https://images.craigslist.org/00H0H_lKRGI2u8gxV_600x450.jpg,https://images.craigslist.org/00p0p_2iGNszSjFCO_600x450.jpg","
        ,
Selling a Trek Speed Concept 9.8, size Small. This is a top of the line Triathlon/TT bike that is incredibly aerodynamic. Trek had such great deisgn on this bike that is even helps cut the crosswinds. Features like internal cables, proprietary integrated brakes, tube shaping, flat base bar,and integrated rear wheel cutout all come together to save you energy and time over long races. This bike runs on a SRAM Force groupset thats snappy and consistent. The proprietary speed box behind the saddle does come included, exactly as pictured. Also included the Bontrager Node 1 computer because we know that your time matters and this will help you track it. This bike is absolutely a race winning ride and would be a tremendous upgraed for most riders. Good condition cosmetically and mechanically. Just serviced professionally and is ready for a new rider. This bike was $7,000 new, and here's why. Check out these specs:,
,
Trek's Carbon tubing,
with Kammtail aero shaping,
SRAM Force groupset - 20 speed,
-Force shifters,
-Force derailleurs,
-Force carbon cranksets - 170mm,
Chainrings - SRAM Powerglide - 53/39T,
Wheelset - Shimano R500,
Tires - Bontrager R3 - 700x25c,
Saddle - Bontrager Hilo Comp,
Seatpost - Trek's Aero carbon,
Stem - Trek's proprietary aero set-up,
Handlebars - Bontrager Speed Concept carbon,
,
The Speed Concept 9 series is as nce as Trek's bike come. This is what pro level riders win races with. With aero shaping, integrated rear wheel and aero-tucked brakes. Quality carbon. The neat thing is that this bike has filtered down to be accessible by anyone. In good condition, just ready for the next rider, and at a great value. Storage box and computer included. Just tuned professionally and is ready to ride. $7,000 new. Willing to ship at $100 flat rate to continental US. Reach out with any questions. Call or text preferred for fastest response.    ", (Gainesville)
2019-09-10 18:59,https://gainesville.craigslist.org/msg/d/newberry-fender-sq-strat/6971629856.html,Fender SQ Strat,$179,"https://images.craigslist.org/00x0x_9d8kikICkVD_600x450.jpg,https://images.craigslist.org/00G0G_fBUNdVfPvi4_600x450.jpg,https://images.craigslist.org/00s0s_1tIfb0GFiqy_600x450.jpg,https://images.craigslist.org/00J0J_aJ1w1ACY2rJ_600x450.jpg","
        ,
Sweeeet Fender Squire Stratocaster for sale.  Custom ‘Gator in Da Water’ pickguard.,
Rosewood fingerboard, fast sleek neck and punchy pickups!  This is one of the nicest playing and looking Strats I’ve played.  Comes with a padded gig bag, fresh strings, strap, picks and a new 10ft cable.  Cash or credit. Call (landline) if interested.,
    ", (Gainesville/Jonesville)
2019-09-10 19:01,https://gainesville.craigslist.org/for/d/gainesville-sewing-machine-in-cabinet/6975931776.html,Sewing Machine in Cabinet New Home Singer,$150,"https://images.craigslist.org/00G0G_e6mXmnqlFAM_600x450.jpg,https://images.craigslist.org/00707_lpPQ2zKgzjn_600x450.jpg,https://images.craigslist.org/00h0h_eUzX3H72WAa_600x450.jpg,https://images.craigslist.org/01414_liHz8GsNzRR_600x450.jpg","
        ,
Long stored, solidly made ...    ","
        ("
2019-09-10 18:54,https://gainesville.craigslist.org/clo/d/newberry-signature-jacquard-coach/6965005944.html,Signature jacquard COACH crossbody purse,$25,"https://images.craigslist.org/01717_jTRuosFTqfL_600x450.jpg,https://images.craigslist.org/00101_gNCXtpeufYX_600x450.jpg,https://images.craigslist.org/00g0g_4qRTLOeobQ_600x450.jpg,https://images.craigslist.org/00m0m_i5Y5lq2WQoo_600x450.jpg,https://images.craigslist.org/00H0H_dUevxNcmuww_600x450.jpg,https://images.craigslist.org/00202_5ZRJ27ECdy1_600x450.jpg,https://images.craigslist.org/00W0W_leXYoQT6nwS_600x450.jpg,https://images.craigslist.org/00q0q_gqXR70LIESj_600x450.jpg,https://images.craigslist.org/00E0E_aoDy8dGPRIs_600x450.jpg","
        ,
This handbag is in nice condition....clean inside and out. See photos ,
,
  Approx 10 tall by 12"" wide with adjustable strap.  Outside zipper pocket....inside zipper pocket and 2 other pockets,
,
If its listed, its still available.  cash only pls.    ", (newberry)
2019-09-10 19:06,https://gainesville.craigslist.org/tls/d/newberry-delta-miter-saw-with-dolly/6975934565.html,Delta Miter Saw with Dolly Stand,$275,"https://images.craigslist.org/00V0V_iRU0A8HAaAA_600x450.jpg,https://images.craigslist.org/00e0e_hkFcUL838QS_600x450.jpg","
        ,
Delta Miter Saw with Dolly Stand. Like New for $275    ", (Newberry)
2019-09-10 19:06,https://gainesville.craigslist.org/for/d/gainesville-antique-magazine-rack/6975934825.html,Antique Magazine Rack,$120,"https://images.craigslist.org/00k0k_rTEkbLeI3V_600x450.jpg,https://images.craigslist.org/00t0t_6e547MxLE4r_600x450.jpg,https://images.craigslist.org/01414_6r20L1fJrQl_600x450.jpg,https://images.craigslist.org/00X0X_9kLjJIXnKGx_600x450.jpg,https://images.craigslist.org/00g0g_96p1rETTbDE_600x450.jpg,https://images.craigslist.org/01313_kMTZPlLwKOp_600x450.jpg","
        ,
Beautiful old piece    ","
        ("
2019-09-10 19:09,https://gainesville.craigslist.org/atq/d/gainesville-brass-octagonal-sundial/6975936540.html,"Brass Octagonal Sundial with Peacock, Perfect for the Garden - Antique",$120,"https://images.craigslist.org/01515_lfX87v1xut7_600x450.jpg,https://images.craigslist.org/00t0t_1eOHUUJsrRj_600x450.jpg,https://images.craigslist.org/00505_2PSIHpuV042_600x450.jpg,https://images.craigslist.org/00Z0Z_ju2pyRBgE17_600x450.jpg,https://images.craigslist.org/00c0c_kF7yrK8ylxg_600x450.jpg,https://images.craigslist.org/00U0U_2EkWAA3T1rw_600x450.jpg,https://images.craigslist.org/00707_cS1iIyu9BN0_600x450.jpg,https://images.craigslist.org/00M0M_as2q9iZIvCW_600x450.jpg,https://images.craigslist.org/00a0a_apAFo7EdHp1_600x450.jpg,https://images.craigslist.org/01313_6cJFTY9knJL_600x450.jpg","
        ,
Beautiful brass peacock on an octagonal sundial which exudes art nouveau style. Will not rust and is perfect for heirloom quality garden art. Peacock is approximately 6” high. Octagonal sundial base is approximately 8.5” wide.    ", (Gainesville)
2019-09-10 19:33,https://gainesville.craigslist.org/atq/d/gainesville-rug-olga-fisch-vintage/6975951953.html,RUG Olga Fisch 10 x 10 Vintage Modern,$3200,"https://images.craigslist.org/00G0G_aLXDuBXzoHL_600x450.jpg,https://images.craigslist.org/00101_fLSktoCvSw6_600x450.jpg,https://images.craigslist.org/00w0w_iEyk8OkRdp3_600x450.jpg,https://images.craigslist.org/00l0l_hOaxzPtTszu_600x450.jpg,https://images.craigslist.org/00000_ja5d5NVBJ5L_600x450.jpg,https://images.craigslist.org/00Y0Y_40QlsZBUfXD_600x450.jpg,https://images.craigslist.org/00a0a_5fAML48qoR7_600x450.jpg,https://images.craigslist.org/00J0J_a6vyPaJQyxy_600x450.jpg,https://images.craigslist.org/00r0r_27QK7beT9fl_600x450.jpg,https://images.craigslist.org/00w0w_aUOagprcj8j_600x450.jpg,https://images.craigslist.org/00707_Lc89SplESi_600x450.jpg","
        ,
Beautiful ...    ","
        ("
2019-09-10 19:11,https://gainesville.craigslist.org/fuo/d/gainesville-very-old-dresser-flip/6975938158.html,Very old Dresser flip Mirror Dark Solid Wood,$480,"https://images.craigslist.org/01717_jejc80uEnQX_600x450.jpg,https://images.craigslist.org/00000_c9egnsuGDjr_600x450.jpg,https://images.craigslist.org/00o0o_2Wms1TYddbe_600x450.jpg,https://images.craigslist.org/00C0C_3CaxO2DGflY_600x450.jpg,https://images.craigslist.org/00r0r_e6TmutyvXhi_600x450.jpg","
        ,
Solid wood.  Needs TLC or love as is rustic ?    ","
        ("
2019-09-10 19:21,https://gainesville.craigslist.org/fuo/d/gainesville-boss-desk-large-wide/6975944207.html,"BOSS Desk LARGE 6' 10 "" WIDE",$600,"https://images.craigslist.org/00j0j_dWxX5mbqkmv_600x450.jpg,https://images.craigslist.org/00c0c_i0jAm2lW6mI_600x450.jpg,https://images.craigslist.org/00707_bdv4UZHEZ10_600x450.jpg","
        ,
Super size desk of domination :)    ","
        ("
2019-09-10 19:23,https://gainesville.craigslist.org/pts/d/hampton-leather-seats/6975945844.html,Leather seats,$200,"https://images.craigslist.org/00p0p_fNDIaIoKRLp_600x450.jpg,https://images.craigslist.org/00c0c_3xKLpgTN31u_600x450.jpg,https://images.craigslist.org/00j0j_ebIHPzusZlN_600x450.jpg","
        ,
2003 -2006 Mercury grand Marquis leather seats front and back very nice condition. 300.00    ","
        ("
2019-09-10 19:32,https://gainesville.craigslist.org/bik/d/gainesville-free-garmin-edge-map-files/6963585812.html,Free Garmin Edge Map Files,$0,,"
        ,
Better looking cycling maps than what's provided by “Garmin” & “garmin.openstreetmap.nl” updated more frequently. The map data comes from OpenStreetMap. OpenStreetMap is built by a community of mappers that contribute and maintain data about roads, trails, cafés, railway stations, and much more, all over the world. ,
,
http://edgemapcreator.mooo.com/Maps    ", (everywhere)
2019-09-10 19:35,https://gainesville.craigslist.org/sys/d/gainesville-better-than-intel-gaming/6975874034.html,Better Than Intel Gaming Tower,$1500,"https://images.craigslist.org/00G0G_4IR4pQ7W683_600x450.jpg,https://images.craigslist.org/00q0q_4uREKtgfXL0_600x450.jpg,https://images.craigslist.org/01717_4a1Bcg97eIT_600x450.jpg,https://images.craigslist.org/00l0l_2kKrpGf2r2k_600x450.jpg,https://images.craigslist.org/01414_917CMRh6Ou8_600x450.jpg,https://images.craigslist.org/00n0n_bqL951UUv0f_600x450.jpg","
        ,
Just assembled this beast and then had to get a laptop. She’s currently running Windows 10 and the full specs are below,
,
Ryzen 5 3600X- 6 Core processor,
Radeon 5700XT- 8Gb GDDR6,
MSI MPG X570 Motherboard,
16GB Ram- G.Skill Aegis DDR4-3000,
2TB M.2 SSD- Intel 660p Series,
850W 80+ Gold Certified Modular PSU- Corsair RMx,
Fractal Design Meshify C Mid-tower case,
2 Noctua NF-A14 140mm fans,
2 Fractal Design 140mm fans,
Noctua NH-D15 CPU Cooler with 2 140mm fans,
,
This thing is a beast. Can run even PUBG at 1440p Ultra setting over 100fps and with 6 fans this thing will never overheat. The Noctua NH-D15 is famous for being the only air cooler that can out perform water coolers with the reliability of an air. ,
,
The motherboard has built in WiFi and is an X570 so it supports Gen 4 m.2 drives. Every major part just came out within the last two months so it’s future proofed for quite a bit of time. Cost me about 1900 to build so asking 1500    ", (Gainesville)
2019-09-10 19:34,https://gainesville.craigslist.org/grd/d/fort-white-lamancha-doeling/6960730813.html,Lamancha Doeling,$275,"https://images.craigslist.org/00202_DUQEDuqOga_600x450.jpg,https://images.craigslist.org/01010_2fAGZBvYAdZ_600x450.jpg,https://images.craigslist.org/00m0m_cJj3ixmzi6D_600x450.jpg,https://images.craigslist.org/01313_fPbDdYWzQjo_600x450.jpg,https://images.craigslist.org/00w0w_i5n76fZw9CE_600x450.jpg,https://images.craigslist.org/00d0d_2QI9BsuQLGe_600x450.jpg","
        ,
ADGA line back to 2018 National,
champion Kastsemir’s Wicked on sire’s side. Very long and tall, correct doeling Tame, healthy and friendly.  I’ve sold off most of my herd and was going to keep her as pet but will let her go to a loving home as a family milker. Dam gave 5 qts a day. Well attached udder. CAE tested negative. $275 cash. Born 3/6/2019. No trades or holds. Sells with ADGA application.    ", (Ft White)
2019-09-10 19:35,https://gainesville.craigslist.org/boa/d/gainesville-87-ski-nautique/6975953391.html,87 SKI NAUTIQUE,$7500,"https://images.craigslist.org/00u0u_eHL2vehQb2B_600x450.jpg,https://images.craigslist.org/00O0O_bck0H3EX4Yy_600x450.jpg,https://images.craigslist.org/00N0N_i18as8Zvsxd_600x450.jpg,https://images.craigslist.org/00e0e_2BH5VYzN5ja_600x450.jpg,https://images.craigslist.org/00F0F_huCRklpRjIP_600x450.jpg,https://images.craigslist.org/00909_7yaX61Y2Gik_600x450.jpg,https://images.craigslist.org/00M0M_4TBDeZDmyIr_600x450.jpg,https://images.craigslist.org/00A0A_dcttyCEhQbV_600x450.jpg,https://images.craigslist.org/00c0c_jIvhObiWbj8_600x450.jpg,https://images.craigslist.org/00s0s_3n2X5lpakXj_600x450.jpg,https://images.craigslist.org/00w0w_32LSAvGsobt_600x450.jpg,https://images.craigslist.org/00u0u_3G6RD6zxVqq_600x450.jpg","
        ,
1987 SKI NAUTIQUE, 351 Ford engine with 1241 hours. Well kept dry boat. Above average condition. Interior could  use some work. Water test available. Galvanized trailer full LED lights, new wheels. Bimini, Post.,
$7500 .,
Please e-mail back with phone number. Check your spam box.,
Local, no shipping, no long distance business :)    ", (GAINESVILLE)
2019-09-10 19:35,https://gainesville.craigslist.org/cto/d/hawthorne-2012-honda-fit-sport-87k/6975955998.html,2012 Honda Fit Sport 87K,$6250,"https://images.craigslist.org/00s0s_eC5bRptvx0k_600x450.jpg,https://images.craigslist.org/01313_k1llZQcZ11l_600x450.jpg,https://images.craigslist.org/00i0i_ceusmflQ5UI_600x450.jpg,https://images.craigslist.org/00L0L_ihTLBn4y2Nh_600x450.jpg,https://images.craigslist.org/00J0J_2WGHGXur29p_600x450.jpg,https://images.craigslist.org/00b0b_jix2rKTvw8K_600x450.jpg,https://images.craigslist.org/00m0m_44k0SMaxCLw_600x450.jpg,https://images.craigslist.org/01515_fYnrOLff2fu_600x450.jpg,https://images.craigslist.org/00M0M_eaUp2UL3uUe_600x450.jpg,https://images.craigslist.org/00202_hXpbMc82kNT_600x450.jpg,https://images.craigslist.org/00x0x_aj8rvIJYGtv_600x450.jpg,https://images.craigslist.org/00i0i_4xYC6vMG6Ew_600x450.jpg,https://images.craigslist.org/01111_2DKigtNseYh_600x450.jpg,https://images.craigslist.org/00g0g_5M7o7V9C6Zp_600x450.jpg,https://images.craigslist.org/00Y0Y_aBprBDZTZIW_600x450.jpg,https://images.craigslist.org/00a0a_8FdKcmIHwvM_600x450.jpg,https://images.craigslist.org/00G0G_3YLjQj8hFvz_600x450.jpg","
        ,
2012 Honda Fit Sport  ,
87,000 Miles, runs and drives great.,
Mechanically perfect, no oil leaks or check engine lights, suspension is A+.,
Prior Honda Certified Pre-owned Vehicle.,
2 owner, very well maintained. ,
Brand new tires all the way around.,
New battery, new oil change 500 miles ago with full synthetic. ,
Fully loaded, comes with sport package, wheels, sport suspension, sport appearance package, paddle shifters and sport seats. Comes with maintenance records, original owners manual and original floor mats.,
Has a rebuilt title for the hail dents that you can see in the pictures. ,
Customized by nature giving you a big discount on the same car, Farm Bureau payed off $8,740. ,
The car has passed the DMV inspection in Ocala and is ready for the road.    ", (Hawthorne)
2019-09-10 19:36,https://gainesville.craigslist.org/tls/d/gainesville-walt-drill-for-sale/6975925581.html,D-WALT DRILL FOR SALE!,$125,,"
        ,
Hello!,
,
I have a D-Walt Drill for sale... and it is in almost perfect condition, although it is a used item.  Maximum Lithion Ion Drill #2.  Price is negotiable.    ", (Gainesville)
2019-09-10 19:41,https://gainesville.craigslist.org/boa/d/steinhatchee-1999-key-west-1720/6975957260.html,1999 Key West 1720 Sportsman,$7000,"https://images.craigslist.org/00S0S_9YhMZygwpfz_600x450.jpg,https://images.craigslist.org/00q0q_jybFl8PzMgn_600x450.jpg,https://images.craigslist.org/00e0e_itAHEdf7lSI_600x450.jpg,https://images.craigslist.org/00y0y_jcjk3N4jHLu_600x450.jpg,https://images.craigslist.org/00H0H_fxLsKAQfhWi_600x450.jpg,https://images.craigslist.org/00i0i_a2wLiUrrzpB_600x450.jpg,https://images.craigslist.org/00l0l_3STRVlb0WJo_600x450.jpg,https://images.craigslist.org/00n0n_kSXeaJ43ITo_600x450.jpg,https://images.craigslist.org/00l0l_4XE788oiqMY_600x450.jpg,https://images.craigslist.org/00r0r_c4nI3zH77HM_600x450.jpg,https://images.craigslist.org/00u0u_9nIuavvPHLH_600x450.jpg,https://images.craigslist.org/00s0s_ipRXwY0YOLa_600x450.jpg,https://images.craigslist.org/00M0M_9CRQQ72MiBN_600x450.jpg,https://images.craigslist.org/00i0i_2s0nkCfaGvb_600x450.jpg,https://images.craigslist.org/00e0e_huPkz2iOyYR_600x450.jpg","
        ,
1999 Key West Center Console 1720 Sportsman with newly rebuilt 1990 90 hp Yamaha 2-stroke engine and carburators with 90-day warranty (by repair shop).  One hour on motor.  Boat used very little.  New crank battery, new Minn Kota front deck trolling motor with new battery.  New windshield, new LED trailer lights and wiring, new bimini top.   Trailer has some surface rust but is in good shape, tires in great shape, large live well, bilge pump, and radio.  Has new 12 gallon portable gas tank.  Includes life jackets, flares, fire extinguisher.  Clear title. $7000 firm.  Call Ed at  ,
 for more information. Serious inquiries only.    ", (Steinhatchee)
2019-09-10 19:37,https://gainesville.craigslist.org/bik/d/gainesville-bicycle-for-sale/6975932539.html,BICYCLE FOR SALE!,$350,,"
        ,
Hello!,
,
As an avid biker, I happen to have a used bicycle for sale.  It's a Sirius cycle, manufactured in 2006, and it is black and very attractive to the eye.  I can vouch honestly for its easy-riding style and prime condition.  Any bike enthusiast, or serious cyclist, would love to own it.  ,
,
Price is negotiable.    ", (Gainesville)
2019-09-10 19:44,https://gainesville.craigslist.org/tix/d/melbourne-florida-gators-vs-tennessee/6975958814.html,Florida Gators vs Tennessee Vols,$300,"https://images.craigslist.org/00m0m_58wzg0ApSfN_600x450.jpg,https://images.craigslist.org/00K0K_iQONfq64D1p_600x450.jpg","
        ,
Section 17 Row 59 Seats 11 and 12.  Aisle Seats!,
,
Great View. See picture from actual seats.,
,
9/21 Noon Kickoff. WEAR BLUE.,
,
Payment in cash or via PayPal.  ,
,
I have tickets in hand to provide in Melbourne area or I can create a PDF of the tickets to email.  Or if you have a UF ticket account I can transfer them via the ticketmaster site.    ","
        ("
2019-09-10 21:07,https://gainesville.craigslist.org/boa/d/high-springs-12-foot-monark-jon-boat/6966787930.html,12 Foot Monark Jon boat,$550,"https://images.craigslist.org/00m0m_8Qk0loUrKgX_600x450.jpg,https://images.craigslist.org/00909_fP65TD9YWCH_600x450.jpg,https://images.craigslist.org/00c0c_lp0rHtK4tc4_600x450.jpg","
        ,
Nice solid 12 foot Jon Boat with trolling motor ,
,
Trailer not included,
$200 for Trailer,
    ", (High Springs)
2019-09-10 21:09,https://gainesville.craigslist.org/fuo/d/gainesville-hand-painted-table/6976006681.html,Hand-painted table,$35,"https://images.craigslist.org/00t0t_202z1OuMcaT_600x450.jpg,https://images.craigslist.org/00g0g_8go2wuolscR_600x450.jpg","
        ,
End table with one drawer.    ","
        ("
2019-09-10 21:11,https://gainesville.craigslist.org/clo/d/palm-coast-clothing-for-sale-ton-of-it/6975976931.html,Clothing for sale ton of it! USED,$40,,"
        ,
if someone looking for nice used VS panties message me please!! or text me or call  ,
! i sell used stuff and have quite a few of it!! i can send photos when u email or text me.. i can do paypal or meet in person for my WELL TAKEN CARE OF BUT USED CLOTHING ;) id prefer Paypal online ship tho but can meet too i guess :),
    "," (Palm Coast, Florida)"
2019-09-10 21:23,https://gainesville.craigslist.org/hsh/d/gainesville-rituals-handmade-porcelain/6972059749.html,"Rituals Handmade porcelain Cup, Black (Case of 6)",$25,"https://images.craigslist.org/00D0D_9zZkBbLTyak_600x450.jpg,https://images.craigslist.org/00I0I_aB2A4vpBKkp_600x450.jpg,https://images.craigslist.org/00p0p_6rk6sgNKWvr_600x450.jpg,https://images.craigslist.org/00r0r_aOP1lkysk4W_600x450.jpg,https://images.craigslist.org/00j0j_3lDVg1uEIir_600x450.jpg,https://images.craigslist.org/00Y0Y_7p7v0ehIhqh_600x450.jpg,https://images.craigslist.org/00J0J_5MY9Q4h2ISC_600x450.jpg","
        ,
I am selling those 6 RITUALS Asian design inspired, hand-made porcelain teacups in classic black.,
I bought them in Europe after they told me I can't get them at Rituals in the US.,
I payed 7,50€ the piece = 45€ for the 6. ,
Asking only $25 for all 6.,
cash only.,
,
https://www.rituals.com/de-de/tea-cup-black-1103217.html    ", (gainesville)
2019-09-10 21:24,https://gainesville.craigslist.org/atq/d/gainesville-lidded-vase-ginger-jar/6960246783.html,lidded vase / ginger jar / Regent,$30,"https://images.craigslist.org/00101_2g5pp7MZCzY_600x450.jpg,https://images.craigslist.org/00101_5RODGSjI2ro_600x450.jpg,https://images.craigslist.org/00e0e_keuDlMz8gmP_600x450.jpg,https://images.craigslist.org/00D0D_h81Tdpl287e_600x450.jpg,https://images.craigslist.org/00b0b_4zR7mcr5oec_600x450.jpg,https://images.craigslist.org/00d0d_5V3kJmdWA3X_600x450.jpg,https://images.craigslist.org/00Y0Y_8h9v94oEJqQ_600x450.jpg","
        ,
My grandmother's beautiful  lidded porcelain vase from Germany.,
asking $30 for it!,
No checks, cash only!    ", (gainesville)
2019-09-10 21:24,https://gainesville.craigslist.org/hsh/d/gainesville-electrified-oil-student/6970557565.html,"electrified oil student hurricane lamp, without glas shade",$5,"https://images.craigslist.org/00U0U_2GujVCZGVX0_600x450.jpg,https://images.craigslist.org/00l0l_299XRb6Btko_600x450.jpg,https://images.craigslist.org/00x0x_30pczhigMVj_600x450.jpg,https://images.craigslist.org/01313_cTZFtuskhsL_600x450.jpg,https://images.craigslist.org/00V0V_hoEWiot2L1s_600x450.jpg,https://images.craigslist.org/00404_ElDzKTTUwx_600x450.jpg,https://images.craigslist.org/00G0G_8F0qe7MJNAx_600x450.jpg","
        ,
old oil student hurricane lamp, works well, unfortunately the glass shade is missing. asking $5. cash only    ", (gainesville)
2019-09-10 21:28,https://gainesville.craigslist.org/clo/d/gainesville-genuine-panama-hat/6970552053.html,Genuine Panama Hat,$20,"https://images.craigslist.org/00T0T_felMhVAdH6z_600x450.jpg,https://images.craigslist.org/00r0r_hTaAu99oNP1_600x450.jpg,https://images.craigslist.org/00E0E_cNdKMPEAi59_600x450.jpg,https://images.craigslist.org/00707_4ByUdd5H1Us_600x450.jpg,https://images.craigslist.org/00o0o_jh025wraB2G_600x450.jpg,https://images.craigslist.org/00G0G_8DGPrKJvZLx_600x450.jpg,https://images.craigslist.org/00808_h350ZFZ5jPB_600x450.jpg,https://images.craigslist.org/00g0g_5rm5lweFrSU_600x450.jpg","
        ,
Hand woven in Ecuador / made in U.S.A. .,
The J. Peterman Company / Lexington, Kentucky,
Asking $20 OBO.,
cash only.    ", (gainesville)
2019-09-10 21:27,https://gainesville.craigslist.org/clt/d/gainesville-goeble-porcelain-clown/6970555372.html,Goeble porcelain clown W-Germany,$25,"https://images.craigslist.org/00404_h0xI98ijhr4_600x450.jpg,https://images.craigslist.org/00505_2gqmksQDR1y_600x450.jpg,https://images.craigslist.org/00404_14nrekIAQxy_600x450.jpg,https://images.craigslist.org/00h0h_e8ehnpGMRTb_600x450.jpg,https://images.craigslist.org/00101_khP7EduxX5z_600x450.jpg","
        ,
well made porcelain clown. ,
goebel is german porcelain manufacturer.,
I used it for my earings which are NOT included. the picture is just an example how you could use it if not only for decoration. $25. ,
cash only.    ", (gainesville)
2019-09-10 21:29,https://gainesville.craigslist.org/art/d/gainesville-vintage-glass-fruit-murano/6970548063.html,Vintage Glass Fruit Murano Art style,$4,"https://images.craigslist.org/00p0p_bBMMAQ6nxyK_600x450.jpg,https://images.craigslist.org/00h0h_8I62Q86v0kr_600x450.jpg,https://images.craigslist.org/00y0y_aCaAHicPnJg_600x450.jpg","
        ,
Vintage Hand Blown Glass Fruit / lemon in Murano Art style. ,
green glass and milky spottet glass inside.,
$4 cash only.    ", (gainesville)
2019-09-10 21:25,https://gainesville.craigslist.org/clt/d/gainesville-villeroy-boch-christmas/6970558061.html,Villeroy & Boch Christmas Toys Gift Box Tealight Holder Clown,$12,"https://images.craigslist.org/00E0E_jFnHgMaT9MU_600x450.jpg,https://images.craigslist.org/00l0l_2HXJ48Rvw2w_600x450.jpg,https://images.craigslist.org/00G0G_cSTVRzE2qQz_600x450.jpg,https://images.craigslist.org/00b0b_aEanqst1A1V_600x450.jpg,https://images.craigslist.org/00z0z_fTCh6bPT1Up_600x450.jpg,https://images.craigslist.org/01414_jSvOWrFYCJv_600x450.jpg,https://images.craigslist.org/00k0k_pmhTBKnzBA_600x450.jpg,https://images.craigslist.org/00M0M_i3ctRG4ldBN_600x450.jpg,https://images.craigslist.org/00d0d_fD53MBBS4Po_600x450.jpg,https://images.craigslist.org/00s0s_a2aubYXuwQX_600x450.jpg,https://images.craigslist.org/00q0q_cWYmydLslFe_600x450.jpg,https://images.craigslist.org/01313_8MYqwaTQHLR_600x450.jpg","
        ,
VILLEROY & BOCH Christmas porcelain Gift Box teacandel holder - Clown.  ,
no cracks no chips.    ", (gainesville)
2019-09-10 21:25,https://gainesville.craigslist.org/clt/d/gainesville-stamp-music-box-cable-car/6970552950.html,stamp / music box / cable-car system,$10,"https://images.craigslist.org/00C0C_WqgHjWoglh_600x450.jpg,https://images.craigslist.org/00t0t_id0mC8lfgY8_600x450.jpg,https://images.craigslist.org/00r0r_7j90cXr3vrP_600x450.jpg,https://images.craigslist.org/00M0M_hGWpBI9FpXu_600x450.jpg","
        ,
historic preservation stamp, San Francisco cable-car system, U.S. 8Cent stamp.,
the stamp is in a cute glas metal frame on top of a tiny music box wood-pedestal with a decorative glasflower. music works great.,
asking $10.,
cash only!,
    ", (gainesville)
2019-09-10 21:26,https://gainesville.craigslist.org/hsh/d/gainesville-kitchenaid-teakettle/6970556806.html,KitchenAid Teakettle Porcelain Enamel on Steel Curling Ket,$10,"https://images.craigslist.org/00v0v_aVUinvRdM1O_600x450.jpg,https://images.craigslist.org/00B0B_hx4cREZGfoc_600x450.jpg,https://images.craigslist.org/00j0j_kpt6t7woJ5d_600x450.jpg,https://images.craigslist.org/00R0R_1hws2KvwakJ_600x450.jpg,https://images.craigslist.org/00s0s_933GmBaUu77_600x450.jpg,https://images.craigslist.org/00G0G_dtICxuHSb7T_600x450.jpg,https://images.craigslist.org/00N0N_5Z00v0AU9w6_600x450.jpg,https://images.craigslist.org/00w0w_5YtA23ECbZU_600x450.jpg,https://images.craigslist.org/00909_hnLEBywUX0j_600x450.jpg,https://images.craigslist.org/00H0H_1Ea5esWuX8_600x450.jpg","
        ,
it's used but still in a very good shape and a very nice desing.  ,
1.5qt., easy-to-grip handle. ,
Has a squeeze and pour handle. Unfortunately the whistle is not as loud and clear as it is described in the add below but still audible when water comes to a boil. it has a removable lid for easy cleaning and filling.,
when it starts boiling take it from the stove and wait approximately 20 sec. before pouring. I just got a newer one so I can let this one go. ,
cash only.,
,
https://www.amazon.com/KitchenAid-Teakettle-2-Quart-Porcelain-Curling/dp/B001GUO4VE?ref_=mw_olp_product_details    ", (gainesville)
